tracker,sequence,n_frames,sr,sr_dual,auc,auc_dual,fps,first_frame_linf,result_path
LightFC,0001,251,0.16,0.168,0.21428571428571425,0.22247619047619047,5.955520955286135,0.0028571428570103308,/data/projects/instan/runs/grt360_20260809/lightfc_120/0001/results.txt
LightFC,0002,854,0.01992966002344666,0.01992966002344666,0.0647574387316474,0.0647574387316474,1.686678854453358,0.0004395604396449926,/data/projects/instan/runs/grt360_20260809/lightfc_120/0002/results.txt
LightFC,0003,740,0.05006765899864682,0.05006765899864682,0.08267285263225725,0.08267285263225725,13.10714294307314,0.0016666666667788377,/data/projects/instan/runs/grt360_20260809/lightfc_120/0003/results.txt
LightFC,0004,690,0.04354136429608128,0.04499274310595065,0.09897021217775936,0.10076715737093095,11.500065024806325,0.00279279279311595,/data/projects/instan/runs/grt360_20260809/lightfc_120/0004/results.txt
LightFC,0005,483,0.9273858921161826,0.9273858921161826,0.7672396759533688,0.7672396759533688,8.121483555658607,0.0020202020205033477,/data/projects/instan/runs/grt360_20260809/lightfc_120/0005/results.txt
LightFC,0006,931,0.2075268817204301,0.2075268817204301,0.20532514080901182,0.20532514080901182,4.384744878751736,0.0,/data/projects/instan/runs/grt360_20260809/lightfc_120/0006/results.txt
LightFC,0007,661,0.015151515151515152,0.015151515151515152,0.06955266955266955,0.06955266955266955,0.9757369263301352,0.0025000000000545697,/data/projects/instan/runs/grt360_20260809/lightfc_120/0007/results.txt
LightFC,0008,1457,0.18269230769230768,0.18269230769230768,0.18844845630559917,0.1890371533228676,3.739153559036993,0.0019435736676314264,/data/projects/instan/runs/grt360_20260809/lightfc_120/0008/results.txt
LightFC,0009,825,0.14684466019417475,0.14684466019417475,0.1636037910309755,0.1636037910309755,1.9255465735720756,0.0035593220338796527,/data/projects/instan/runs/grt360_20260809/lightfc_120/0009/results.txt
LightFC,0010,687,0.17638483965014579,0.17638483965014579,0.1620158267388588,0.1620158267388588,4.499702283547826,0.0033333333335576754,/data/projects/instan/runs/grt360_20260809/lightfc_120/0010/results.txt
LightFC,0011,1081,0.05462962962962963,0.05462962962962963,0.08999118165784832,0.08999118165784832,3.20823984017861,0.0008695652174992574,/data/projects/instan/runs/grt360_20260809/lightfc_120/0011/results.txt
LightFC,0012,1276,0.03372549019607843,0.03372549019607843,0.07563025210084033,0.07563025210084033,6.994860996403803,0.0009523809522988813,/data/projects/instan/runs/grt360_20260809/lightfc_120/0012/results.txt
LightFC,0013,651,0.40923076923076923,0.40923076923076923,0.3126007326007326,0.3126007326007326,9.80480046177237,0.0011111111111858918,/data/projects/instan/runs/grt360_20260809/lightfc_120/0013/results.txt
LightFC,0014,499,0.4879518072289157,0.4879518072289157,0.4313444253203289,0.4313444253203289,9.775140860938338,0.0033333333333303017,/data/projects/instan/runs/grt360_20260809/lightfc_120/0014/results.txt
LightFC,0015,580,0.14507772020725387,0.14507772020725387,0.14877868245743894,0.14877868245743894,8.796712782051978,0.0025000000000545697,/data/projects/instan/runs/grt360_20260809/lightfc_120/0015/results.txt
LightFC,0016,2400,0.7057107127969987,0.7082117548978741,0.5904642807519006,0.59254848250263,10.163101892511737,0.002758620689746749,/data/projects/instan/runs/grt360_20260809/lightfc_120/0016/results.txt
LightFC,0017,740,0.11502029769959404,0.11502029769959404,0.15123397126103488,0.15123397126103488,7.941417493099355,0.0038709677419319632,/data/projects/instan/runs/grt360_20260809/lightfc_120/0017/results.txt
LightFC,0018,992,0.8415741675075681,0.8415741675075681,0.7353322762000865,0.736245254913267,10.786757329475916,0.0037500000000818545,/data/projects/instan/runs/grt360_20260809/lightfc_120/0018/results.txt
LightFC,0019,600,0.2604340567612688,0.2604340567612688,0.2547897289132681,0.2547897289132681,11.764744405736302,0.0039393939393903565,/data/projects/instan/runs/grt360_20260809/lightfc_120/0019/results.txt
LightFC,0020,2398,0.295369211514393,0.295369211514393,0.273695293720325,0.273695293720325,12.537128083585952,0.0,/data/projects/instan/runs/grt360_20260809/lightfc_120/0020/results.txt
LightFC,0021,600,0.5308848080133556,0.5308848080133556,0.4924874791318864,0.4924874791318864,12.06745284500475,0.0040740740741966874,/data/projects/instan/runs/grt360_20260809/lightfc_120/0021/results.txt
LightFC,0022,1586,0.2113564668769716,0.2113564668769716,0.23019378098242452,0.23019378098242452,11.067455500768883,0.0021052631577731518,/data/projects/instan/runs/grt360_20260809/lightfc_120/0022/results.txt
LightFC,0023,901,0.35333333333333333,0.35333333333333333,0.33513227513227517,0.33513227513227517,14.225137118911158,0.004782608695741097,/data/projects/instan/runs/grt360_20260809/lightfc_120/0023/results.txt
LightFC,0024,1350,0.14232765011119347,0.14232765011119347,0.16904938402343891,0.16904938402343891,10.455304917530302,0.00428571428574287,/data/projects/instan/runs/grt360_20260809/lightfc_120/0024/results.txt
LightFC,0025,429,0.12383177570093458,0.12383177570093458,0.15075656430796616,0.15075656430796616,11.89476883029337,5.684341886080802e-14,/data/projects/instan/runs/grt360_20260809/lightfc_120/0025/results.txt
LightFC,0026,1076,0.4306976744186046,0.4306976744186046,0.41607973421926914,0.41607973421926914,11.107101429815241,0.004647887324153999,/data/projects/instan/runs/grt360_20260809/lightfc_120/0026/results.txt
LightFC,0027,328,0.4434250764525994,0.4434250764525994,0.4262414445900685,0.4269695645842435,7.627994210352787,0.004166666666606034,/data/projects/instan/runs/grt360_20260809/lightfc_120/0027/results.txt
LightFC,0028,1451,0.19241379310344828,0.19241379310344828,0.2136617405582923,0.21441707717569786,9.435203625469203,0.0033333333333587234,/data/projects/instan/runs/grt360_20260809/lightfc_120/0028/results.txt
LightFC,0029,1121,0.2526785714285714,0.25535714285714284,0.27236394557823135,0.27882653061224494,8.612242423234157,0.0038961038962952443,/data/projects/instan/runs/grt360_20260809/lightfc_120/0029/results.txt
LightFC,0030,1568,0.10529674537332483,0.10529674537332483,0.12784513933205702,0.12784513933205702,8.68195328691553,0.004216867469892804,/data/projects/instan/runs/grt360_20260809/lightfc_120/0030/results.txt
LightFC,0031,640,0.6697965571205008,0.672926447574335,0.5283553170877114,0.5305164319248826,9.397056900864092,0.004951456310607227,/data/projects/instan/runs/grt360_20260809/lightfc_120/0031/results.txt
LightFC,0032,1511,0.5642384105960265,0.5642384105960265,0.4802270577105014,0.48029012929675186,8.32490942897016,0.0005504587154518958,/data/projects/instan/runs/grt360_20260809/lightfc_120/0032/results.txt
LightFC,0033,1021,0.2088235294117647,0.2088235294117647,0.19780578898225953,0.19780578898225953,8.072492255783809,0.002083333333303017,/data/projects/instan/runs/grt360_20260809/lightfc_120/0033/results.txt
LightFC,0034,703,0.3646723646723647,0.3646723646723647,0.34377967711301044,0.34377967711301044,9.125891890393847,0.0,/data/projects/instan/runs/grt360_20260809/lightfc_120/0034/results.txt
LightFC,0035,600,0.38397328881469117,0.38397328881469117,0.41227442563001837,0.4141028698624692,7.120217990236483,0.00257731958754448,/data/projects/instan/runs/grt360_20260809/lightfc_120/0035/results.txt
LightFC,0036,1080,0.0917516218721038,0.09823911028730306,0.12688115097753652,0.1334127719669888,10.005979897969247,0.0008955223881343954,/data/projects/instan/runs/grt360_20260809/lightfc_120/0036/results.txt
LightFC,0037,1110,0.4733994589720469,0.4733994589720469,0.44484520589119325,0.44484520589119325,10.355862548972379,0.0,/data/projects/instan/runs/grt360_20260809/lightfc_120/0037/results.txt
LightFC,0038,589,0.003401360544217687,0.003401360544217687,0.055717525105280205,0.055717525105280205,7.277597693141236,0.000987654320852016,/data/projects/instan/runs/grt360_20260809/lightfc_120/0038/results.txt
LightFC,0039,310,0.49514563106796117,0.49514563106796117,0.40946216674372016,0.40946216674372016,12.683971192589839,0.0005882352943444857,/data/projects/instan/runs/grt360_20260809/lightfc_120/0039/results.txt
LightFC,0040,728,0.14442916093535077,0.14580467675378267,0.17455950743433546,0.17979956769502847,10.992523851666757,0.002808988763945308,/data/projects/instan/runs/grt360_20260809/lightfc_120/0040/results.txt
LightFC,0041,2400,0.007503126302626094,0.007503126302626094,0.05367315746640465,0.05367315746640465,7.415575809799032,0.003962264150914052,/data/projects/instan/runs/grt360_20260809/lightfc_120/0041/results.txt
LightFC,0042,876,0.17142857142857143,0.17142857142857143,0.19591836734693877,0.19591836734693877,15.238641324658092,0.0047058823529368965,/data/projects/instan/runs/grt360_20260809/lightfc_120/0042/results.txt
LightFC,0043,1240,0.2800645682001614,0.2800645682001614,0.2580806333832968,0.2580806333832968,9.713276149311705,0.0005882352941171121,/data/projects/instan/runs/grt360_20260809/lightfc_120/0043/results.txt
LightFC,0044,1271,0.5763779527559055,0.5763779527559055,0.5175103112110987,0.5175103112110987,9.955962016320893,0.0005128205129949492,/data/projects/instan/runs/grt360_20260809/lightfc_120/0044/results.txt
LightFC,0045,1147,0.6396160558464223,0.6457242582897034,0.5045292113354939,0.5091415274661348,12.013465378588599,0.004482758620270033,/data/projects/instan/runs/grt360_20260809/lightfc_120/0045/results.txt
LightFC,0046,1687,0.17319098457888493,0.17319098457888493,0.18186183132802353,0.18352821555668533,7.194844891279809,0.0013268608413454785,/data/projects/instan/runs/grt360_20260809/lightfc_120/0046/results.txt
LightFC,0047,2334,0.02186026575225032,0.02186026575225032,0.06574408588982099,0.06576449696895474,6.085135216303277,0.0,/data/projects/instan/runs/grt360_20260809/lightfc_120/0047/results.txt
LightFC,0048,1010,0.6818632309217046,0.6897918731417245,0.5713813771296427,0.5769503044032279,11.514129898209509,0.001111111111072205,/data/projects/instan/runs/grt360_20260809/lightfc_120/0048/results.txt
LightFC,0049,854,0.4114888628370457,0.4114888628370457,0.38139898397811645,0.38139898397811645,7.472951000823483,0.0017647058822376493,/data/projects/instan/runs/grt360_20260809/lightfc_120/0049/results.txt
LightFC,0050,480,0.07724425887265135,0.07724425887265135,0.17864598866686549,0.17924246943036085,8.512535203190053,0.0014285714285051654,/data/projects/instan/runs/grt360_20260809/lightfc_120/0050/results.txt
LightFC,0051,1540,0.142949967511371,0.142949967511371,0.16194808007673506,0.16200996317955382,10.731527780325935,0.001688311688212707,/data/projects/instan/runs/grt360_20260809/lightfc_120/0051/results.txt
LightFC,0052,930,1.0,1.0,0.8145471320928804,0.8145471320928804,14.735500588763331,0.0028865979381862417,/data/projects/instan/runs/grt360_20260809/lightfc_120/0052/results.txt
LightFC,0053,760,0.42555994729907776,0.42555994729907776,0.3936256979735241,0.3936256979735241,17.814315076424695,0.0028205128201079788,/data/projects/instan/runs/grt360_20260809/lightfc_120/0053/results.txt
LightFC,0054,2400,0.03126302626094206,0.03167986661108795,0.0721729291966891,0.07253022092538558,17.09920983497244,0.0023404255321111123,/data/projects/instan/runs/grt360_20260809/lightfc_120/0054/results.txt
LightFC,0055,721,0.4013888888888889,0.4041666666666667,0.3543650793650793,0.35648148148148145,7.81053321840897,0.003684210526444076,/data/projects/instan/runs/grt360_20260809/lightfc_120/0055/results.txt
LightFC,0056,850,0.04004711425206125,0.04004711425206125,0.0811599080150317,0.0811599080150317,7.198768038124524,0.00018518518527343986,/data/projects/instan/runs/grt360_20260809/lightfc_120/0056/results.txt
LightFC,0057,501,0.964,0.974,0.8036190476190477,0.8122857142857143,6.341938441044066,0.001965065502190555,/data/projects/instan/runs/grt360_20260809/lightfc_120/0057/results.txt
LightFC,0058,1185,0.29138513513513514,0.2947635135135135,0.2820945945945946,0.2852316602316602,11.56664523025778,0.004482758620270033,/data/projects/instan/runs/grt360_20260809/lightfc_120/0058/results.txt
LightFC,0059,810,0.6823238566131026,0.6897404202719407,0.6059214786038025,0.6114544705397611,12.629713212939121,0.0032258064516099694,/data/projects/instan/runs/grt360_20260809/lightfc_120/0059/results.txt
LightFC,0060,2400,0.9674864526886202,0.9712380158399333,0.8209769943825798,0.8238948768336011,14.830699868204725,0.003076923076832827,/data/projects/instan/runs/grt360_20260809/lightfc_120/0060/results.txt
LightFC,0061,1194,1.0,1.0,0.8867600686544522,0.8867600686544522,14.156577377117422,0.004920634920381417,/data/projects/instan/runs/grt360_20260809/lightfc_120/0061/results.txt
LightFC,0062,432,0.12529002320185614,0.12529002320185614,0.18097447795823668,0.18263175339741466,5.677932213723801,0.0010526315786592022,/data/projects/instan/runs/grt360_20260809/lightfc_120/0062/results.txt
LightFC,0063,331,0.30303030303030304,0.30606060606060603,0.2776334776334776,0.27994227994227994,14.454249192524932,0.0028571428570103308,/data/projects/instan/runs/grt360_20260809/lightfc_120/0063/results.txt
LightFC,0064,706,0.07943262411347518,0.07943262411347518,0.11293481931779803,0.11293481931779803,10.464137937315602,0.004761904761949154,/data/projects/instan/runs/grt360_20260809/lightfc_120/0064/results.txt
LightFC,0065,1239,0.05735056542810985,0.05735056542810985,0.08685283483344873,0.08689129933071775,10.536313472822556,0.0033333333335576754,/data/projects/instan/runs/grt360_20260809/lightfc_120/0065/results.txt
LightFC,0066,2400,0.08378491037932471,0.08378491037932471,0.11439290180432322,0.11439290180432322,14.306128235689808,0.0037209302322480653,/data/projects/instan/runs/grt360_20260809/lightfc_120/0066/results.txt
LightFC,0067,1045,0.4281609195402299,0.43007662835249044,0.39445356686735994,0.3993340631271666,6.399008615256557,0.0029787234041123156,/data/projects/instan/runs/grt360_20260809/lightfc_120/0067/results.txt
