tracker,sequence,n_frames,sr,sr_dual,auc,auc_dual,fps,first_frame_linf,result_path
SparseK2,0001,251,0.98,0.98,0.8883809523809523,0.8883809523809523,nan,1.4285706129157916e-07,D:\instan\pano360\runs\sparse_teacher_k2\0001\results.txt
SparseK2,0002,854,0.30246189917936694,0.30246189917936694,0.3530955172221292,0.3530955172221292,nan,4.395603809825843e-07,D:\instan\pano360\runs\sparse_teacher_k2\0002\results.txt
SparseK2,0003,740,0.7699594046008119,0.8240866035182679,0.6748501836458536,0.7295573168374251,nan,3.3333321880490985e-07,D:\instan\pano360\runs\sparse_teacher_k2\0003\results.txt
SparseK2,0004,690,0.09579100145137881,0.09579100145137881,0.1270302025019006,0.1270302025019006,nan,2.0720699467347004e-07,D:\instan\pano360\runs\sparse_teacher_k2\0004\results.txt
SparseK2,0005,483,0.941908713692946,0.941908713692946,0.8279984192847264,0.8279984192847264,nan,2.0202014638925903e-07,D:\instan\pano360\runs\sparse_teacher_k2\0005\results.txt
SparseK2,0006,931,0.3602150537634409,0.3602150537634409,0.3349718381976447,0.3349718381976447,nan,0.0,D:\instan\pano360\runs\sparse_teacher_k2\0006\results.txt
SparseK2,0007,661,0.8015151515151515,0.8015151515151515,0.6376623376623376,0.6376623376623376,nan,0.0,D:\instan\pano360\runs\sparse_teacher_k2\0007\results.txt
SparseK2,0008,1457,0.6373626373626373,0.6373626373626373,0.5538003663003662,0.5539311878597593,nan,4.263324626663234e-07,D:\instan\pano360\runs\sparse_teacher_k2\0008\results.txt
SparseK2,0009,825,0.19053398058252427,0.19053398058252427,0.17625982431807674,0.17625982431807674,nan,3.2203388400375843e-07,D:\instan\pano360\runs\sparse_teacher_k2\0009\results.txt
SparseK2,0010,687,0.6224489795918368,0.6224489795918368,0.5318617242815493,0.5318617242815493,nan,3.333334461785853e-07,D:\instan\pano360\runs\sparse_teacher_k2\0010\results.txt
