sequence,prelim_auc,prelim_sr,prelim_fps,final_auc,final_sr,final_fps,delta_auc,delta_sr,delta_fps,b224_auc,b224_sr,b224_fps,prelim_source,final_source
train_real/seq_0002,0.6226375250765495,0.8651884700665189,23.086074339144346,0.6506599091964945,0.8864745011086475,21.300508047048954,0.028022384119945065,0.02128603104212856,-1.7855662920953925,0.6195755464048147,0.7871396895787139,31.862267833900415,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\_all130_gpu0\odtrack_20260826_021411\train_real\seq_0002\metrics.json,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\odtrack_recapture_representative_20260825\odtrack_recapture_20260825_180348\train_real\seq_0002\metrics.json
train_real/seq_0003,0.8769104744659293,0.974649162516976,23.518524694460034,0.8764362241048522,0.974649162516976,19.03510203451372,-0.00047425036107706653,0.0,-4.483422659946314,0.8847356054236997,0.9990946129470348,28.654005601764354,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\_all130_gpu0\odtrack_20260826_021411\train_real\seq_0003\metrics.json,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\odtrack_recapture_representative_20260825\odtrack_recapture_20260825_180348\train_real\seq_0003\metrics.json
train_real/seq_0004,0.31793881793881795,0.23804573804573806,24.689657570215786,0.2438372438372438,0.18814968814968816,17.55717804871211,-0.07410157410157414,-0.0498960498960499,-7.132479521503676,0.2924957924957925,0.16943866943866945,28.60962795377558,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\_all130_gpu0\odtrack_20260826_021411\train_real\seq_0004\metrics.json,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\odtrack_recapture_representative_20260825\odtrack_recapture_20260825_180348\train_real\seq_0004\metrics.json
train_real/seq_0012,0.5775124066783129,0.7848147472166453,23.31229503524504,0.19097158848938367,0.16371600657054208,39.535792407323484,-0.38654081818892927,-0.6210987406461033,16.223497372078445,0.6132679755603647,0.8525278335462676,28.10884895036364,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\_all130_gpu0\odtrack_20260826_021411\train_real\seq_0012\metrics.json,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\odtrack_recapture_representative_20260825\odtrack_recapture_20260825_180348\train_real\seq_0012\metrics.json
train_real/seq_0047,0.7318706732140982,0.9754020813623463,30.212507332006457,0.7310897869081407,0.978555660674866,21.806689040975048,-0.0007808863059574067,0.0031535793125196943,-8.405818291031409,0.8765749125257167,0.9895931882686849,30.538297805551213,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\_all130_gpu0\odtrack_20260826_021411\train_real\seq_0047\metrics.json,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\odtrack_recapture_representative_20260825\odtrack_recapture_20260825_180348\train_real\seq_0047\metrics.json
train_sim/seq_0047,0.7329327670154356,0.864394488759971,30.471924023767247,0.17535135881763872,0.17113850616388687,22.61190664502655,-0.5575814081977969,-0.6932559825960842,-7.860017378740697,0.8024793673814704,0.9659173313995649,29.303859697090186,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\_all130_gpu0\odtrack_20260826_021411\train_sim\seq_0047\metrics.json,D:\instan\grt360_storage\experiments\server_exit_20260827\runs\odtrack_recapture_representative_20260825\odtrack_recapture_20260825_180348\train_sim\seq_0047\metrics.json
