tracker,sequence,n_frames,sr,sr_dual,auc,auc_dual,fps,first_frame_linf,result_path
UETrack,0001,251,0.588,0.596,0.547047619047619,0.5552380952380952,74.13307301751853,1.4279066817834973e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0001.txt
UETrack,0002,854,0.12778429073856976,0.12778429073856976,0.1500027912689109,0.1500027912689109,39.06955645198228,4.3951331463176757e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0002.txt
UETrack,0003,740,0.2598105548037889,0.33964817320703655,0.2551066434692957,0.32804948772472453,70.25162916760186,3.333298081997782e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0003.txt
UETrack,0004,690,0.026124818577648767,0.03193033381712627,0.0831432718225171,0.08646070910221855,64.90008448314335,2.0691004465334117e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0004.txt
UETrack,0005,483,0.9294605809128631,0.9294605809128631,0.8200948429164198,0.8200948429164198,63.418949792717406,2.0463630789890885e-11,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0005.txt
UETrack,0006,931,0.2989247311827957,0.2989247311827957,0.28658474142345114,0.28658474142345114,62.33203443650534,0.0,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0006.txt
UETrack,0007,661,0.10454545454545454,0.10454545454545454,0.1303751803751804,0.1303751803751804,74.01985930394864,0.0,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0007.txt
UETrack,0008,1457,0.5879120879120879,0.5879120879120879,0.5091248037676609,0.5091248037676609,40.41301771025559,3.3242031349800527e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0008.txt
UETrack,0009,825,0.18810679611650485,0.18810679611650485,0.18793342579750347,0.18793342579750347,29.630269967358874,3.387867764104158e-11,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0009.txt
UETrack,0010,687,0.45043731778425655,0.45043731778425655,0.3867832847424684,0.3867832847424684,45.051286884099326,3.333298081997782e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0010.txt
UETrack,0011,1081,0.6648148148148149,0.6648148148148149,0.5322751322751323,0.5328924162257496,69.77430660652207,2.1748292056145146e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0011.txt
UETrack,0012,1276,0.36941176470588233,0.37411764705882355,0.3435667600373482,0.34760037348272643,29.66064868001506,4.774847184307873e-11,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0012.txt
UETrack,0013,651,0.8461538461538461,0.8461538461538461,0.6167765567765569,0.6167765567765569,75.13102851372795,1.1141310096718371e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0013.txt
UETrack,0014,499,0.26706827309236947,0.26907630522088355,0.26161790017211706,0.2633390705679862,67.16756405499486,3.333298081997782e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0014.txt
UETrack,0015,580,0.29015544041450775,0.29015544041450775,0.26416646105765274,0.2668805000411218,72.35909004507634,0.0,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0015.txt
UETrack,0016,2400,0.6452688620258441,0.6581909128803668,0.5427459854304372,0.5557275849064094,63.74900991728918,3.1013769330456853e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0016.txt
UETrack,0017,740,0.43437077131258456,0.43437077131258456,0.37483085250338305,0.37483085250338305,63.42074325163386,2.580691216280684e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0017.txt
UETrack,0018,992,0.508577194752775,0.5660948536831484,0.49954351064340974,0.5422613041180144,50.36208612059021,0.0,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0018.txt
UETrack,0019,600,0.42237061769616024,0.4574290484140234,0.3924795293743541,0.421098656490977,74.64886991082264,6.048139766789973e-11,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0019.txt
UETrack,0020,2398,0.10012515644555695,0.10095953274926991,0.12448099807298807,0.12517631165941553,72.37366040793019,0.0,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0020.txt
UETrack,0021,600,0.6243739565943238,0.6277128547579299,0.5595039351299784,0.5626838381429367,73.5879920122016,7.412381819449365e-11,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0021.txt
UETrack,0022,1586,0.4649842271293375,0.4649842271293375,0.4557308096740274,0.4557308096740274,74.71840706578742,1.5779733075760305e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0022.txt
UETrack,0023,901,0.11333333333333333,0.1288888888888889,0.14460317460317457,0.1571957671957672,20.9157063568688,3.042588403445734e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0023.txt
UETrack,0024,1350,0.8413639733135656,0.8413639733135656,0.7680468777577746,0.7680468777577746,74.75215697930798,2.8603608370758593e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0024.txt
UETrack,0025,429,0.530373831775701,0.5373831775700935,0.48831775700934577,0.4979973297730307,70.84250106470652,5.684341886080802e-14,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0025.txt
UETrack,0026,1076,0.4046511627906977,0.4046511627906977,0.40234772978959027,0.40234772978959027,65.50686408343344,3.242348611820489e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0026.txt
UETrack,0027,328,0.8134556574923547,0.8318042813455657,0.7704965778360273,0.7854958497160331,58.6010583315293,3.3355718187522143e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0027.txt
UETrack,0028,1451,0.08206896551724138,0.08275862068965517,0.11497536945812808,0.11599343185550082,75.81836116782239,3.333582299092086e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0028.txt
UETrack,0029,1121,0.24464285714285713,0.2598214285714286,0.27359693877551017,0.2868622448979592,42.718245897284355,1.0368239600211382e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base/0029.txt
UETrack-ERPWrap,0001,251,0.984,0.988,0.8805714285714286,0.8839999999999998,73.5816330825377,1.4279066817834973e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base_erpwrapfast/0001.txt
UETrack-ERPWrap,0002,854,0.05041031652989449,0.05041031652989449,0.09791771339250827,0.0979735387707252,15.32583240740511,4.3951331463176757e-10,/data/projects/instan_check/uetrack_output/test/tracking_results/uetrack/uetrack_base_erpwrapfast/0002.txt
