sequence,domain,n_frames,scene_tags,ODTrack_AUC,ODTrack_SR,ODTrack_FPS,SUTrack-T224_AUC,SUTrack-T224_SR,SUTrack-T224_FPS,SUTrack-B224_AUC,SUTrack-B224_SR,SUTrack-B224_FPS,UETrack_AUC,UETrack_SR,UETrack_FPS,LoRAT_AUC,LoRAT_SR,LoRAT_FPS,ODTrack-ft-v4-ep1_AUC,ODTrack-ft-v4-ep1_SR,ODTrack-ft-v4-ep1_FPS,ODTrack-ft-v4-ep4_AUC,ODTrack-ft-v4-ep4_SR,ODTrack-ft-v4-ep4_FPS,ODTrack-ft-ep6_AUC,ODTrack-ft-ep6_SR,ODTrack-ft-ep6_FPS,ODTrack-ft-ep7_AUC,ODTrack-ft-ep7_SR,ODTrack-ft-ep7_FPS,best_method,best_AUC
train_sim/seq_0071,train_sim,900,,0.6907,0.8799,29.1,0.2537,0.1379,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6907
train_sim/seq_0072,train_sim,450,seam,0.7654,0.9354,30.2,0.7737,0.9555,42.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7737
train_sim/seq_0073,train_sim,450,seam,0.5712,0.7060,30.8,0.7353,0.8731,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7353
train_sim/seq_0074,train_sim,450,scale,0.6501,0.7929,30.0,0.6761,0.7973,38.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.6761
train_sim/seq_0075,train_sim,450,hard;drift,0.0899,0.0178,12.7,0.1046,0.0178,32.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.1046
train_sim/seq_0076,train_sim,450,,0.8064,0.9800,29.8,0.7500,0.9243,42.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8064
train_sim/seq_0077,train_sim,450,,0.8357,1.0000,31.8,0.8477,1.0000,44.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8477
train_sim/seq_0078,train_sim,450,seam,0.6054,0.8330,29.2,0.6082,0.8085,42.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.6082
train_sim/seq_0079,train_sim,450,seam;drift,0.4248,0.3252,28.5,0.5215,0.8151,42.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.5215
train_sim/seq_0080,train_sim,450,polar;seam,0.4945,0.6325,31.5,0.6443,0.8040,41.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.6443
train_sim/seq_0081,train_sim,450,polar;seam;scale,0.5032,0.6503,24.8,0.5348,0.6615,37.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.5348
train_sim/seq_0082,train_sim,900,seam,0.4383,0.5562,28.6,0.2760,0.2970,40.5,0.3207,0.3726,29.7,0.3576,0.4316,45.3,0.4839,0.6107,8.7,0.4385,0.5417,16.0,0.4111,0.4961,13.3,0.4098,0.5028,14.5,0.4214,0.5083,14.1,lorat,0.4839
train_sim/seq_0083,train_sim,900,seam;hard;drift,0.2591,0.2525,31.8,0.5335,0.6385,39.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.5335
