sequence,domain,n_frames,scene_tags,ODTrack_AUC,ODTrack_SR,ODTrack_FPS,SUTrack-T224_AUC,SUTrack-T224_SR,SUTrack-T224_FPS,SUTrack-B224_AUC,SUTrack-B224_SR,SUTrack-B224_FPS,UETrack_AUC,UETrack_SR,UETrack_FPS,LoRAT_AUC,LoRAT_SR,LoRAT_FPS,ODTrack-ft-v4-ep1_AUC,ODTrack-ft-v4-ep1_SR,ODTrack-ft-v4-ep1_FPS,ODTrack-ft-v4-ep4_AUC,ODTrack-ft-v4-ep4_SR,ODTrack-ft-v4-ep4_FPS,ODTrack-ft-ep6_AUC,ODTrack-ft-ep6_SR,ODTrack-ft-ep6_FPS,ODTrack-ft-ep7_AUC,ODTrack-ft-ep7_SR,ODTrack-ft-ep7_FPS,best_method,best_AUC
train_real/seq_0042,train_real,4772,large;seam;hard;drift,0.2479,0.0398,12.4,0.1853,0.0027,14.8,0.2085,0.0115,13.7,0.2309,0.0381,10.4,0.2309,0.1017,9.1,0.2286,0.0172,3.5,0.2148,0.0054,3.5,0.2338,0.0254,3.5,0.2266,0.0103,3.5,baseline,0.2479
train_real/seq_0043,train_real,2751,seam;scale;hard;drift,0.2012,0.1040,15.5,0.1460,0.0371,27.4,0.3418,0.3091,24.5,0.1826,0.0745,12.5,0.1193,0.0069,9.0,0.1570,0.0764,8.9,0.1688,0.0800,10.0,0.1673,0.0767,9.9,0.1709,0.0876,9.1,sutrack_b224,0.3418
train_real/seq_0044,train_real,3907,scale,0.7997,0.9711,30.5,0.8579,0.9964,44.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8579
train_real/seq_0045,train_real,3328,scale,0.8691,0.9994,30.4,0.8697,0.9994,42.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8697
train_real/seq_0046,train_real,2089,small;scale,0.8760,1.0000,31.3,0.8606,0.9966,44.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8760
train_real/seq_0047,train_real,3250,scale,0.7319,0.9754,30.2,0.8333,0.9782,42.5,0.8766,0.9896,28.6,0.8486,0.9849,52.0,0.8628,0.9909,9.2,0.8145,0.9886,17.1,0.8043,0.9877,15.2,0.8105,0.9820,15.6,0.8169,0.9886,15.9,sutrack_b224,0.8766
train_sim/seq_0001,train_sim,1236,fast;scale,0.6989,0.9773,28.6,0.6890,0.9673,42.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6989
train_sim/seq_0002,train_sim,1254,scale;absent,0.6544,0.7582,30.4,0.7611,0.9132,43.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7611
train_sim/seq_0003,train_sim,1306,scale,0.7852,0.9854,30.9,0.7625,0.9471,41.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7852
train_sim/seq_0004,train_sim,1300,fast;scale,0.6372,0.8522,26.7,0.6247,0.8052,41.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6372
train_sim/seq_0005,train_sim,1290,fast;scale,0.7224,0.8512,29.0,0.7036,0.8298,38.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7224
train_sim/seq_0006,train_sim,1296,fast;scale,0.7574,0.9459,29.4,0.7582,0.9367,44.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7582
train_sim/seq_0007,train_sim,1284,fast;scale;absent,0.7099,0.8617,30.3,0.6910,0.8457,37.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7099
train_sim/seq_0008,train_sim,916,fast;scale,0.6743,0.9016,28.6,0.6643,0.8721,43.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6743
train_sim/seq_0009,train_sim,996,fast;scale;hard;drift,0.2008,0.2060,30.8,0.1825,0.1779,44.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.2008
train_sim/seq_0010,train_sim,450,seam;hard;drift,0.3868,0.1381,18.2,0.3209,0.1782,39.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.3868
train_sim/seq_0011,train_sim,450,small;polar;seam;hard;drift,0.0855,0.0134,29.1,0.2400,0.2361,41.1,0.2641,0.2984,28.6,0.1664,0.1314,55.5,0.2171,0.2049,8.8,0.1017,0.0245,16.2,0.1274,0.0267,14.4,0.1074,0.0290,15.6,0.0966,0.0245,13.9,sutrack_b224,0.2641
train_sim/seq_0012,train_sim,450,seam;hard;drift,0.1152,0.0401,17.6,0.2420,0.2539,30.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.2420
train_sim/seq_0013,train_sim,450,small;seam;hard;drift,0.3953,0.4967,29.4,0.4574,0.6036,26.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.4574
train_sim/seq_0014,train_sim,450,scale,0.6275,0.9042,30.3,0.6439,0.8998,42.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.6439
train_sim/seq_0015,train_sim,450,seam;scale,0.6824,0.8931,30.5,0.7436,0.9488,43.6,0.7660,0.9510,28.4,0.7363,0.9354,46.2,0.6962,0.8998,8.9,0.7495,0.9555,16.7,0.7747,0.9555,15.3,0.7771,0.9532,13.2,0.7776,0.9510,15.2,ft_ep7,0.7776
train_sim/seq_0016,train_sim,450,,0.9048,1.0000,32.2,0.9158,1.0000,43.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.9158
train_sim/seq_0017,train_sim,480,small;seam;scale,0.8300,0.9854,32.1,0.8210,0.9875,44.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8300
train_sim/seq_0018,train_sim,480,small;scale;hard;drift,0.0685,0.0104,24.5,0.0579,0.0125,12.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.0685
train_sim/seq_0019,train_sim,450,small;seam,0.7990,0.9733,31.1,0.7858,0.9577,46.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7990
train_sim/seq_0020,train_sim,450,small,0.8514,1.0000,32.0,0.8709,1.0000,45.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8709
train_sim/seq_0021,train_sim,450,small,0.7639,1.0000,32.7,0.7706,1.0000,43.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.7706
train_sim/seq_0022,train_sim,450,small;seam,0.6770,0.7817,32.6,0.5687,0.6548,26.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.6770
train_sim/seq_0023,train_sim,450,small;scale,0.9064,1.0000,32.6,0.8788,1.0000,39.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.9064
train_sim/seq_0024,train_sim,450,small;seam,0.5132,0.5724,32.2,0.2827,0.2673,42.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.5132
train_sim/seq_0025,train_sim,450,seam;hard;drift,0.0708,0.0200,9.9,0.1332,0.0869,30.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.1332
train_sim/seq_0026,train_sim,450,small;seam,0.4851,0.5568,32.5,0.4661,0.5546,24.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.4851
train_sim/seq_0027,train_sim,450,small;seam,0.5227,0.6058,32.9,0.5012,0.5412,38.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.5227
train_sim/seq_0028,train_sim,450,seam;drift,0.4010,0.3653,29.2,0.4560,0.5813,40.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.4560
train_sim/seq_0029,train_sim,450,seam,0.5382,0.6036,32.4,0.5476,0.6036,24.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.5476
train_sim/seq_0030,train_sim,450,scale,0.8417,1.0000,30.9,0.8419,1.0000,42.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8419
train_sim/seq_0031,train_sim,450,seam,0.7097,0.8129,30.3,0.8539,0.9399,39.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.8539
train_sim/seq_0032,train_sim,450,small;seam,0.7935,0.9510,32.8,0.7798,0.9510,40.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7935
train_sim/seq_0033,train_sim,450,seam,0.4978,0.6392,32.0,0.5918,0.6414,25.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.5918
train_sim/seq_0034,train_sim,1292,small;polar,0.7417,0.9620,31.7,0.4383,0.5329,34.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7417
train_sim/seq_0035,train_sim,1264,scale,0.8390,0.9814,31.4,0.6597,0.8133,43.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8390
train_sim/seq_0036,train_sim,1350,fast;scale,0.7419,0.8558,31.2,0.7092,0.8297,44.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7419
train_sim/seq_0037,train_sim,1306,fast;scale,0.7365,0.8832,30.6,0.5538,0.6613,40.7,0.8016,0.9590,26.0,0.7088,0.8770,40.1,0.7672,0.9258,8.0,0.7779,0.9258,16.6,0.7802,0.9273,17.8,0.7939,0.9520,15.4,0.7418,0.8832,17.7,sutrack_b224,0.8016
train_sim/seq_0038,train_sim,1262,fast;scale,0.7266,0.9096,29.2,0.5018,0.5805,43.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.7266
train_sim/seq_0039,train_sim,1016,,0.8684,0.9951,31.1,0.8189,0.9458,39.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8684
train_sim/seq_0040,train_sim,1068,,0.8168,0.9182,31.6,0.7049,0.7959,40.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8168
train_sim/seq_0041,train_sim,1022,fast,0.8692,0.9921,31.4,0.8440,0.9733,43.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,baseline,0.8692
train_sim/seq_0042,train_sim,1872,,0.8551,0.9733,31.5,0.8150,0.9471,42.7,0.8551,0.9786,25.2,0.8091,0.9514,37.1,0.8466,0.9717,8.1,0.8538,0.9738,23.1,0.8554,0.9717,15.5,0.7554,0.8568,18.4,0.8474,0.9653,24.3,ft_v4_ep4,0.8554
train_sim/seq_0043,train_sim,1288,fast;scale,0.5464,0.6939,30.8,0.6745,0.8687,41.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sutrack_t224,0.6745
